asset_id,ticker,company_name,country,decision
U20585,8LL0d,374Water Inc,US,KEEP_REVIEW_REQUIRED
U20896,AGIOn,Agios Pharmaceuticals Inc,US,KEEP_REVIEW_REQUIRED
U21649,B72d,AtaiBeckley Inc,US,KEEP_REVIEW_REQUIRED
U22435,CLDXn,Celldex Therapeutics Inc,US,KEEP_REVIEW_REQUIRED
U22612,CPTn,Camden Property Trust,US,KEEP_REVIEW_REQUIRED
U23854,F9Qd,Eos Energy Enterprises Inc,US,KEEP_REVIEW_REQUIRED
U36865,XD4,STRABAG SE,AT,KEEP_REVIEW_REQUIRED
U36870,OMV,OMV AKTIENGESELLSCHAFT,AT,KEEP_REVIEW_REQUIRED
U36871,OEWA,VERBUND AG,AT,KEEP_REVIEW_REQUIRED
U36876,SLL,SBO AG,AT,KEEP_REVIEW_REQUIRED
U36879,GEPH,EPH Group AG,AT,KEEP_REVIEW_REQUIRED
