Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
NFLU,20492,500,18.66,500,18.57,18.62,20492,0
FRDM,20240,2,72.00,160,70.50,71.09,20240,0
VSGX,19891,100,89.22,100,73.03,82.57,19744,147
KGLD,19851,100,35.52,1,27.20,27.28,19778,73
BKGI,19835,100,47.23,100,20.84,44.45,19835,0
BBEU,19605,100,88.50,100,69.68,78.75,19605,0
FCPI,19545,100,70.51,100,40.51,54.40,19545,0
EMGF,19286,100,81.16,100,63.90,72.11,19286,0
GDE,19127,100,73.15,80,58.00,63.56,19127,0
OPEX,19006,6413,21.27,1688,20.98,21.11,19006,0
BALT,18218,100,39.98,150,34.22,34.35,18218,0
FLDR,18047,3000,50.31,100,44.18,50.16,18047,0
JELM,17992,100,46.34,100,9.79,25.25,17992,0
VELL,17808,100,8.68,500,8.37,8.34,17808,0
RSBT,17697,100,29.31,5,18.50,19.15,17697,0
IGLD,17666,10,21.45,1194,21.20,21.28,17580,86
ONDU,17609,900,4.79,1100,4.75,4.71,17609,0
WQTM,17598,1,36.80,2,36.03,36.72,17598,0
POEL,17505,400,15.73,6611,15.34,15.49,17505,0
SHYM,17211,100,24.08,100,20.68,22.41,17211,0
SMUP,16569,1700,6.10,800,6.07,6.11,16569,0
SDVD,16063,100,36.95,100,21.60,23.23,16063,0
AEHG,15925,1100,7.88,1100,7.37,7.37,15925,0
DIVB,15834,3,63.80,1,63.00,63.33,15834,0
ICF,15763,96,69.00,100,62.87,67.99,15763,0
VCHY,15443,100,99.90,500,75.15,75.22,15443,0
UCTX,15292,100,21.56,10,17.00,17.51,15228,64
IFRA,15196,100,67.56,40,61.50,62.12,15195,1
OVL,15131,100,61.62,3,56.70,56.99,15131,0
ARKQ,14997,5,131.50,5,130.15,130.11,14997,0
LRCU,14968,900,71.25,1000,70.27,71.12,14968,0
PBUS,14895,100,80.28,1,75.14,75.36,14895,0
ARMW,14572,1,67.00,30,62.00,62.96,14572,0
PLU,14415,400,20.04,14,19.52,19.39,14415,0
IBHG,14350,180,23.52,45,21.80,22.00,14350,0
XRPM,14167,100,16.66,1,11.00,11.01,14167,0
PJUN,14043,100,46.12,100,20.32,43.40,14043,0
COHH,14022,500,10.08,500,9.99,10.02,14022,0
TAIL,14018,100,12.51,100,9.00,10.60,14018,0
JBBB,13952,140,47.41,380,47.34,47.35,13952,0
RBLU,13783,1000,9.84,600,9.70,9.70,13783,0
SPDF,13782,100,50.54,100,10.76,27.56,13782,0
ACIO,13661,100,54.01,100,43.38,46.48,13661,0
XRPR,13482,25000,9.53,25000,9.42,9.38,12101,1381
VTEI,13190,1,101.36,1,98.90,100.86,13190,0
KTUP,13182,100,7.49,100,7.37,7.37,13182,0
AMPU,12943,1200,4.97,4300,4.80,4.90,12343,600
CEGX,12856,500,11.50,2300,11.42,11.38,11656,1200
IBHF,12830,100,24.00,100,22.50,22.58,12830,0
XDTE,12795,1000,39.20,1000,39.15,39.16,12795,0
IBMS,12622,150,27.69,310,24.47,25.90,6982,5640
RSST,12620,100,35.46,100,30.72,32.87,12620,0
CSEX,12591,5066,17.39,871,17.08,17.13,12591,0
CBRX,12472,3066,12.99,2453,12.80,12.67,12472,0
FLYT,12443,1100,9.84,100,9.56,9.62,12443,0
LNOK,12339,100,57.58,300,56.72,57.36,12339,0
VSDM,12152,100,101.54,310,73.43,76.49,12152,0
OILK,12138,2,48.00,2,46.00,47.15,12138,0
APRW,12006,100,49.90,100,21.61,37.17,11206,800
RSBY,11976,9,18.92,7,15.10,18.17,11976,0
FFSM,11789,100,40.50,100,34.86,37.32,11789,0
TDAQ,11664,434,28.35,90,27.75,27.81,11664,0
SSK,11579,20000,11.29,20000,11.16,11.08,11579,0
BUFE,11578,100,39.07,100,8.25,21.29,11578,0
PATX,11049,600,9.49,600,8.98,9.15,11049,0
FYLD,10776,100,42.33,100,17.59,37.13,10776,0
TEMT,10756,700,26.84,600,26.55,26.87,10456,300
CBTJ,10700,100,21.91,100,10.25,17.88,10700,0
BBUS,10570,100,144.25,100,126.94,135.47,10570,0
NEAR,10555,100,50.80,100,50.46,50.55,10555,0
MAGX,10408,5,54.18,100,53.70,53.86,10408,0
FLQM,10343,100,66.36,100,55.26,59.03,10343,0
VFMO,10159,66,246.00,100,221.48,237.90,10159,0
VEGN,10085,100,145.46,100,31.20,79.14,10062,23
IBHH,10045,500,23.60,340,22.14,23.46,10045,0
LITU,9981,300,15.62,300,15.39,15.51,9981,0
NFLW,9957,1300,17.81,1,17.30,17.37,9957,0
EMHY,9943,100,43.21,10,40.40,40.59,9765,178
MUNY,9821,100,113.51,100,94.54,103.89,9821,0
TOPW,9782,20,35.50,3,34.41,34.61,9674,108
QTUP,9769,100,38.04,100,8.03,20.70,9759,10
PJUL,9725,100,56.97,100,44.20,48.97,8825,900
BUYW,9723,100,15.44,1,14.45,14.48,9423,300
RSIT,9506,100,31.62,10,19.69,20.74,9506,0
STXL,9486,843,38.43,600,37.86,38.52,9480,6
TSLW,9347,1,23.68,500,23.07,23.53,9347,0
TMFC,9330,600,80.00,1,76.20,77.30,9329,1
LABX,9142,200,174.57,180,172.84,173.80,8942,200
BUFD,9058,100,47.37,100,14.12,29.81,8858,200
QBQV,9000,100,49.17,100,10.37,26.74,9000,0
IEO,8972,2700,112.07,100,101.94,109.78,8972,0
ESGV,8952,100,141.70,100,124.56,133.10,8952,0
YBTC,8900,100,19.17,5,17.30,17.78,8859,41
TSII,8719,600,17.50,600,17.23,17.22,8719,0
VUSG,8676,30,80.00,100,46.50,64.08,8676,0
VGHY,8669,100,99.14,700,74.54,74.73,8669,0
QNTU,8627,362,26.52,300,25.80,25.90,8627,0
AMDC,8598,50,28.98,100,19.98,25.67,8598,0
ASTY,8572,600,12.41,400,12.26,12.37,8572,0
CATG,8555,4100,15.58,10709,15.40,15.56,8555,0
ITM,8526,100,52.92,100,41.08,46.90,8526,0
ETU,8515,200,4.02,100,3.98,4.03,8126,389
VTEL,8505,1,107.00,50,102.40,104.71,8505,0
SVAL,8371,100,56.11,30,41.65,41.80,8158,213
ACWV,8330,4,122.85,100,108.03,122.17,8230,100
MSMR,8327,100,64.97,100,13.71,35.34,6985,1342
BBAG,8322,100,48.64,100,42.80,45.72,8322,0
GMEU,8275,400,8.80,183,8.71,8.78,8275,0
MEAR,8142,100,53.51,100,50.23,50.29,8142,0
ICLO,8102,1000,25.66,40,25.59,25.60,8102,0
NJUN,8043,100,59.86,100,17.55,32.62,8043,0
ICOW,7996,100,49.40,100,39.33,42.52,7697,299
VIXM,7973,1,14.44,50,14.20,14.26,7288,685
HFSI,7863,100,37.82,100,32.63,35.15,7563,300
NVDW,7830,600,35.00,1,34.32,34.32,7724,106
SPIN,7804,100,59.38,4,29.72,32.35,7804,0
ZALT,7798,100,36.14,55,33.75,33.97,7798,0
STXU,7764,7400,14.57,15,14.33,14.48,7764,0
FFLC,7753,100,94.23,15,49.00,59.16,7753,0
CRMX,7712,5900,11.62,1900,11.25,11.19,7712,0
CEFS,7673,100,26.00,35,25.43,25.52,7669,4
RDTE,7662,1000,29.44,1000,29.37,29.33,7609,53
IGE,7558,100,60.93,100,52.13,56.39,7558,0
GTOC,7446,100,46.02,100,9.72,25.06,7446,0
GOVZ,7347,100,51.00,600,35.70,35.95,7347,0
FOMG,7338,900,8.11,900,7.47,7.78,7338,0
MLN,7257,100,19.12,2,17.20,17.78,7257,0
PLTW,7253,1,19.35,1300,19.10,19.23,7253,0
INTL,7210,2000,31.83,10,27.24,30.81,7210,0
AMKL,7190,500,16.86,500,16.30,16.29,7190,0
KMAY,7155,100,55.89,100,11.79,30.36,7155,0
RSSB,7154,100,41.02,1,30.40,31.00,7026,128
GDMN,7122,5,79.40,30,70.11,77.60,7122,0
ONX,7115,500,12.22,500,11.83,11.88,7115,0
ONG,7103,44,7.75,700,7.46,7.66,7103,0
SYLD,7096,100,90.04,100,70.89,80.12,7096,0
BBHY,7071,100,48.89,100,43.07,45.98,7071,0
GVI,6986,100,118.88,100,93.60,105.89,6986,0
IBHI,6971,100,24.83,340,22.01,23.34,6971,0
KYLD,6958,100,29.19,25,22.65,22.70,6958,0
BUFQ,6936,100,45.30,100,26.67,39.08,6936,0
DDWM,6866,100,50.46,100,32.87,46.91,6866,0
RGTU,6853,500,16.76,600,16.49,16.44,6511,342
FYEE,6818,100,32.51,100,27.34,29.18,6818,0
TJUL,6754,100,55.60,100,11.94,30.27,6754,0
MARS,6714,8,31.60,1,30.60,31.09,6714,0
APLZ,6687,500,23.21,500,22.57,22.91,6687,0
GSST,6603,498,50.47,100,44.44,50.43,6603,0
KSLV,6587,100,29.75,2,26.40,26.40,6587,0
UMAL,6558,559,14.77,400,13.48,14.68,6558,0
LEUX,6552,10,13.49,1800,13.05,13.32,6552,0
HYBL,6504,35,28.15,1,27.34,27.90,6504,0
DDFS,6439,100,40.47,5,21.81,22.03,6439,0
BTCO,6414,10800,64.25,7600,63.81,63.38,6414,0
NULV,6410,100,54.21,100,46.59,50.92,6410,0
ENOR,6352,150,33.50,670,32.25,32.30,6352,0
HEGD,6306,100,35.55,100,18.94,26.81,6306,0
FLQL,6256,100,83.08,100,72.15,77.63,6256,0
OMFL,6251,100,73.59,100,64.64,69.13,6251,0
XSHD,6217,201,14.40,100,10.02,14.14,6216,1
FGRU,6176,900,13.40,400,12.97,13.27,6176,0
EMMY,6127,100,45.34,100,9.59,24.35,6127,0
SNDC,6112,40,13.00,30,12.00,12.91,6109,3
FPAG,6084,100,64.38,100,19.14,40.89,6084,0
VCEB,6050,100,70.25,100,55.40,62.59,5978,72
EZET,5958,32000,13.88,18000,13.78,13.57,5421,537
IMFL,5903,100,40.03,100,16.32,34.42,5903,0
FFLG,5876,100,35.87,100,28.46,33.75,5769,107
FHEQ,5851,100,53.00,100,22.57,33.28,5851,0
NIHI,5825,5,52.73,55,51.00,52.27,5788,37
JANW,5766,100,52.05,100,22.53,38.77,5766,0
STXX,5711,800,47.96,800,46.88,47.67,5711,0
AMDW,5700,300,108.50,300,106.50,106.66,5691,9
HONG,5685,250,16.00,663,15.06,15.70,5685,0
FSEP,5657,100,62.14,100,51.78,55.33,5558,99
IGEB,5654,100,50.86,100,39.84,44.96,5654,0
LQID,5529,100,38.33,2,25.04,25.05,5529,0
BHYB,5487,100,71.78,100,38.01,54.03,5487,0
ISPY,5473,2,49.00,100,43.13,48.18,5473,0
SPCI,5445,100,43.05,25,27.67,29.51,5445,0
SMMD,5431,100,98.16,100,84.74,90.98,5431,0
PSH,5396,814,50.95,10,49.80,49.98,5396,0
BJUN,5368,100,66.60,100,37.79,48.88,5368,0
PTLC,5355,100,62.32,100,54.89,58.60,5331,24
IVVW,5350,72,45.50,3,44.00,44.46,5350,0
NEHI,5314,100,34.58,1,25.55,26.18,5314,0
CNYA,5282,2,37.14,4,36.64,36.97,5281,1
USAX,5256,500,15.63,500,15.32,15.32,5256,0
YETH,5236,100,10.44,20,8.30,8.55,5236,0
TDVI,5235,100,38.30,1,30.59,31.34,5235,0
LASC,5200,100,44.25,138,22.01,24.64,3600,1600
CEMB,5156,100,51.44,100,39.77,45.51,5156,0
FPFD,5109,3,21.89,100,16.10,21.45,5109,0
SPBW,5079,100,52.78,100,20.25,28.79,5079,0
UJUL,5039,100,54.01,100,15.81,40.82,5039,0
CVAR,5014,100,53.55,100,11.30,29.12,5014,0
IBHJ,4952,150,28.19,300,24.91,26.45,4952,0
FRNW,4913,100,30.23,100,15.40,24.10,4913,0
PSEP,4909,100,58.05,100,34.85,46.18,4909,0
RSSY,4879,100,38.96,1,25.36,25.51,4198,681
TUSI,4806,100,26.89,320,23.91,25.29,4644,162
NUMG,4758,100,62.35,100,36.69,47.48,4758,0
SIMX,4717,100,37.97,100,18.03,23.67,4717,0
VFMF,4713,100,191.17,300,175.33,178.30,4713,0
JULW,4700,100,54.79,100,23.74,40.89,4700,0
XBOX,4688,510,103.07,10,100.09,100.55,888,3800
DFNL,4676,100,80.72,100,23.91,51.11,4440,236
TMFG,4657,100,39.29,100,12.34,31.28,4657,0
RBUF,4633,100,57.18,100,12.06,31.13,4633,0
BTCL,4584,500,12.76,500,12.70,12.81,4584,0
JOBX,4572,42,18.22,600,18.05,18.12,4572,0
PTMC,4543,100,55.56,100,16.34,41.40,4543,0
SMZ,4514,3,24.60,1,24.04,24.48,4514,0
ETHV,4500,17000,26.75,17000,26.52,26.17,4500,0
HFGO,4486,100,37.00,100,21.95,29.29,4486,0
GDXW,4360,100,38.80,1,37.71,38.12,4360,0
UX,4290,100,36.89,100,19.38,28.48,4290,0
CBXJ,4230,100,30.57,100,11.76,20.13,4230,0
KHPI,4223,100,27.58,100,24.26,25.96,4223,0
GSWO,4185,100,75.58,100,29.97,64.01,1686,2499
ADIU,4179,700,12.52,1,11.88,12.07,4179,0
UPSX,4115,1430,21.67,1325,21.28,21.69,4115,0
IBMP,4108,160,27.14,320,23.98,25.39,4108,0
HPEL,4072,700,11.92,700,11.42,11.61,4072,0
IBMT,4049,100,33.74,40,22.85,25.79,4049,0
SNOU,4024,500,43.73,600,43.16,43.39,4024,0
MAGY,4018,260,43.50,3,42.78,42.90,4018,0
GOOX,4017,1,85.30,766,84.91,85.30,4017,0
WMTI,3993,100,27.56,2,21.25,21.30,3993,0
MAXJ,3963,100,53.61,100,11.48,29.20,3963,0
NJUL,3951,100,99.39,100,59.32,76.78,3951,0
SYSB,3949,100,117.17,310,85.32,88.34,3949,0
NULG,3937,100,124.88,100,107.09,115.48,3937,0
VXZ,3928,270,55.00,44,49.66,50.18,3928,0
IYJ,3880,100,179.37,100,155.51,167.51,3880,0
TOXR,3859,100,11.44,100,11.18,11.18,1959,1900
ASUP,3849,500,15.58,500,15.39,15.49,3849,0
ZNOV,3779,100,29.12,100,11.06,27.51,3779,0
ABUF,3760,100,49.84,100,10.52,27.11,3760,0
OSCV,3711,100,53.23,100,31.63,42.10,3711,0
ESML,3698,100,58.99,100,51.50,55.03,3698,0
PMAY,3685,100,44.15,100,19.44,41.48,3685,0
QSOL,3635,100,8.44,100,8.25,8.23,1135,2500
IQDG,3606,100,51.18,100,37.50,43.95,3606,0
VGMS,3578,100,67.37,310,48.05,51.22,3578,0
VSDB,3552,100,80.90,310,72.97,76.12,3388,164
