measurement_month,trade_date,symbol,listed_mic,round_lot_size
202603,20260331,ESML,BATS,100
202603,20260331,ETHU,BATS,100
202603,20260331,ETHV,BATS,100
202603,20260331,ETTY,BATS,100
202603,20260331,ETU,BATS,100
202603,20260331,EUAD,BATS,100
202603,20260331,EUDV,BATS,100
202603,20260331,EUHY,BATS,100
202603,20260331,EUIG,BATS,100
202603,20260331,EVLU,BATS,100
202603,20260331,EVUS,BATS,100
202603,20260331,EWUS,BATS,100
202603,20260331,EYLD,BATS,100
202603,20260331,EZBC,BATS,100
202603,20260331,EZET,BATS,100
202603,20260331,EZPZ,BATS,100
202603,20260331,EZU,BATS,100
202603,20260331,FAPR,BATS,100
202603,20260331,FAUG,BATS,100
202603,20260331,FB,BATS,100
202603,20260331,FBCG,BATS,100
202603,20260331,FBCV,BATS,100
202603,20260331,FBTC,BATS,100
202603,20260331,FBUF,BATS,100
202603,20260331,FCLD,BATS,100
202603,20260331,FCPI,BATS,100
202603,20260331,FCTR,BATS,100
202603,20260331,FDEC,BATS,100
202603,20260331,FDEM,BATS,100
202603,20260331,FDEV,BATS,100
202603,20260331,FDND,BATS,100
202603,20260331,FDRV,BATS,100
202603,20260331,FEBM,BATS,100
202603,20260331,FEBP,BATS,100
202603,20260331,FEBT,BATS,100
202603,20260331,FEBU,BATS,100
202603,20260331,FEBW,BATS,100
202603,20260331,FEBZ,BATS,100
202603,20260331,FETH,BATS,100
202603,20260331,FFDI,BATS,100
202603,20260331,FFEB,BATS,100
202603,20260331,FFEM,BATS,100
202603,20260331,FFF,BATS,100
202603,20260331,FFGX,BATS,100
202603,20260331,FFLC,BATS,100
202603,20260331,FFLG,BATS,100
202603,20260331,FFLV,BATS,100
202603,20260331,FFOG,BATS,100
202603,20260331,FFSM,BATS,100
202603,20260331,FGRU,BATS,100
202603,20260331,FHDG,BATS,100
202603,20260331,FHEQ,BATS,100
202603,20260331,FJAN,BATS,100
202603,20260331,FJUL,BATS,100
202603,20260331,FJUN,BATS,100
202603,20260331,FLAO,BATS,100
202603,20260331,FLBL,BATS,100
202603,20260331,FLDR,BATS,100
202603,20260331,FLDZ,BATS,100
202603,20260331,FLHY,BATS,100
202603,20260331,FLIA,BATS,100
202603,20260331,FLJJ,BATS,100
202603,20260331,FLOT,BATS,100
202603,20260331,FLQL,BATS,100
202603,20260331,FLQM,BATS,100
202603,20260331,FLQS,BATS,100
202603,20260331,FLXI,BATS,100
202603,20260331,FLXN,BATS,100
202603,20260331,FLYT,BATS,100
202603,20260331,FMAG,BATS,100
202603,20260331,FMAR,BATS,100
202603,20260331,FMAY,BATS,100
202603,20260331,FNOV,BATS,100
202603,20260331,FOCT,BATS,100
202603,20260331,FORH,BATS,100
202603,20260331,FOWF,BATS,100
202603,20260331,FPAG,BATS,100
202603,20260331,FPAS,BATS,100
202603,20260331,FPFD,BATS,100
202603,20260331,FPRO,BATS,100
202603,20260331,FRDM,BATS,100
202603,20260331,FRNW,BATS,100
202603,20260331,FSEP,BATS,100
202603,20260331,FYEE,BATS,100
202603,20260331,FYLD,BATS,100
202603,20260331,GAA,BATS,100
202603,20260331,GAPR,BATS,100
202603,20260331,GARP,BATS,100
202603,20260331,GAUG,BATS,100
202603,20260331,GBXA,BATS,100
202603,20260331,GCOW,BATS,100
202603,20260331,GDE,BATS,100
202603,20260331,GDEC,BATS,100
202603,20260331,GDMA,BATS,100
202603,20260331,GDMN,BATS,100
202603,20260331,GDT,BATS,100
202603,20260331,GDXW,BATS,100
202603,20260331,GEMD,BATS,100
202603,20260331,GEVX,BATS,100
202603,20260331,GFEB,BATS,100
202603,20260331,GHTA,BATS,100
202603,20260331,GHYG,BATS,100
202603,20260331,GIF,BATS,100
202603,20260331,GJAN,BATS,100
202603,20260331,GJUL,BATS,100
202603,20260331,GJUN,BATS,100
202603,20260331,GLBL,BATS,100
202603,20260331,GLDW,BATS,100
202603,20260331,GLXU,BATS,100
202603,20260331,GMAR,BATS,100
202603,20260331,GMAY,BATS,100
202603,20260331,GMEU,BATS,100
202603,20260331,GMOM,BATS,100
202603,20260331,GNOV,BATS,100
202603,20260331,GOCT,BATS,100
202603,20260331,GOLY,BATS,100
202603,20260331,GOOP,BATS,100
202603,20260331,GOOW,BATS,100
202603,20260331,GOOX,BATS,100
202603,20260331,GOP,BATS,100
202603,20260331,GOVT,BATS,100
202603,20260331,GOVZ,BATS,100
202603,20260331,GROZ,BATS,100
202603,20260331,GSEE,BATS,100
202603,20260331,GSEP,BATS,100
202603,20260331,GSEW,BATS,100
202603,20260331,GSID,BATS,100
202603,20260331,GSST,BATS,100
202603,20260331,GSUS,BATS,100
202603,20260331,GSWO,BATS,100
202603,20260331,GTIP,BATS,100
202603,20260331,GTOC,BATS,100
202603,20260331,GTOH,BATS,100
202603,20260331,GTOS,BATS,100
202603,20260331,GVAL,BATS,100
202603,20260331,GVI,BATS,100
202603,20260331,HAUS,BATS,100
202603,20260331,HBTC,BATS,100
202603,20260331,HCRB,BATS,100
202603,20260331,HEEM,BATS,100
202603,20260331,HEFA,BATS,100
202603,20260331,HEGD,BATS,100
202603,20260331,HELX,BATS,100
202603,20260331,HEMI,BATS,100
202603,20260331,HFGO,BATS,100
202603,20260331,HFSI,BATS,100
202603,20260331,HIMU,BATS,100
202603,20260331,HLXX,BATS,100
202603,20260331,HODL,BATS,100
202603,20260331,HOII,BATS,100
202603,20260331,HOOW,BATS,100
202603,20260331,HTUS,BATS,100
202603,20260331,HUMN,BATS,100
202603,20260331,HYBL,BATS,100
202603,20260331,HYD,BATS,100
202603,20260331,HYDB,BATS,100
202603,20260331,HYGW,BATS,100
202603,20260331,HYHG,BATS,100
202603,20260331,HYIN,BATS,100
202603,20260331,IAGG,BATS,100
202603,20260331,IAUI,BATS,100
202603,20260331,IBHF,BATS,100
202603,20260331,IBHG,BATS,100
202603,20260331,IBHH,BATS,100
202603,20260331,IBHI,BATS,100
202603,20260331,IBHJ,BATS,100
202603,20260331,IBHK,BATS,100
202603,20260331,IBHL,BATS,100
202603,20260331,IBHM,BATS,100
202603,20260331,IBMO,BATS,100
202603,20260331,IBMP,BATS,100
202603,20260331,IBMQ,BATS,100
202603,20260331,IBMR,BATS,100
202603,20260331,IBMS,BATS,100
202603,20260331,IBMT,BATS,100
202603,20260331,IBMU,BATS,100
202603,20260331,IBMV,BATS,100
202603,20260331,IBX,BATS,100
202603,20260331,ICF,BATS,100
202603,20260331,ICLO,BATS,100
202603,20260331,ICOW,BATS,100
202603,20260331,ICSH,BATS,100
202603,20260331,ICVT,BATS,100
202603,20260331,IDUB,BATS,100
202603,20260331,IDV,BATS,100
202603,20260331,IDVZ,BATS,100
202603,20260331,IEDI,BATS,100
202603,20260331,IEFA,BATS,100
202603,20260331,IEO,BATS,100
202603,20260331,IETC,BATS,100
202603,20260331,IFRA,BATS,100
202603,20260331,IGE,BATS,100
202603,20260331,IGEB,BATS,100
202603,20260331,IGHG,BATS,100
202603,20260331,IGLD,BATS,100
202603,20260331,IGRO,BATS,100
