Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source,instrument_type,instrument_scope,classification_confidence,classification_reason,decision,reason_code,reason_category,business_explanation,severity,recoverable,decision_layer
FDUS,Fidus Investment Corporation - Closed End Fund,NASDAQ,USA,,,,,,nasdaqlisted,CLOSED_END_FUND,OUT_OF_SCOPE,HIGH,Security name indicates closed-end fund.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_CLOSED_END_FUND,INSTRUMENT_SCOPE,Instrument classified as CLOSED_END_FUND; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FERA,Fifth Era Acquisition Corp I - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,SPAC_OR_BLANK_CHECK,OUT_OF_SCOPE,MEDIUM,Security name suggests SPAC / blank check company.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_SPAC_OR_BLANK_CHECK,INSTRUMENT_SCOPE,Instrument classified as SPAC_OR_BLANK_CHECK; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FERAR,Fifth Era Acquisition Corp I - Rights,NASDAQ,USA,,,,,,nasdaqlisted,RIGHT,OUT_OF_SCOPE,HIGH,Security name indicates rights.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_RIGHT,INSTRUMENT_SCOPE,Instrument classified as RIGHT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FERAU,Fifth Era Acquisition Corp I - Units,NASDAQ,USA,,,,,,nasdaqlisted,UNIT,OUT_OF_SCOPE,HIGH,Security name indicates unit.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_UNIT,INSTRUMENT_SCOPE,Instrument classified as UNIT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FFAIW,Faraday Future Intelligent Electric Inc. - Warrant,NASDAQ,USA,,,,,,nasdaqlisted,WARRANT,OUT_OF_SCOPE,HIGH,Security name indicates warrant.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_WARRANT,INSTRUMENT_SCOPE,Instrument classified as WARRANT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FGBIP,"First Guaranty Bancshares, Inc. - 6.75% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock",NASDAQ,USA,,,,,,nasdaqlisted,PREFERRED,OUT_OF_SCOPE,HIGH,Security name indicates preferred/depositary preferred instrument.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_PREFERRED,INSTRUMENT_SCOPE,Instrument classified as PREFERRED; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FGII,FG Imperii Acquisition Corp. - Class A Ordinary Shares,NASDAQ,USA,,,,,,nasdaqlisted,SPAC_OR_BLANK_CHECK,OUT_OF_SCOPE,MEDIUM,Security name suggests SPAC / blank check company.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_SPAC_OR_BLANK_CHECK,INSTRUMENT_SCOPE,Instrument classified as SPAC_OR_BLANK_CHECK; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FGIIU,FG Imperii Acquisition Corp. - Units,NASDAQ,USA,,,,,,nasdaqlisted,UNIT,OUT_OF_SCOPE,HIGH,Security name indicates unit.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_UNIT,INSTRUMENT_SCOPE,Instrument classified as UNIT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FGIIW,FG Imperii Acquisition Corp. - Warrants,NASDAQ,USA,,,,,,nasdaqlisted,WARRANT,OUT_OF_SCOPE,HIGH,Security name indicates warrant.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_WARRANT,INSTRUMENT_SCOPE,Instrument classified as WARRANT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FGIWW,FGI Industries Ltd. - warrant,NASDAQ,USA,,,,,,nasdaqlisted,WARRANT,OUT_OF_SCOPE,HIGH,Security name indicates warrant.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_WARRANT,INSTRUMENT_SCOPE,Instrument classified as WARRANT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
