Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source,instrument_type,instrument_scope,classification_confidence,classification_reason,yf_symbol,quote_type,has_core_market_data,market_data_error,avg_volume_30d,avg_volume_90d
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,USA,Healthcare,Biotechnology,126725288.0,5.82,48742,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACOG,EQUITY,True,,48742,48742
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,USA,Healthcare,Health Information Services,8790232.0,3.57,99036,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACON,EQUITY,True,,99036,99036
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,USA,Healthcare,Biotechnology,608933632.0,4.36,1762419,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACRS,EQUITY,True,,1762419,1762419
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,USA,Healthcare,Biotechnology,61206468.0,1.43,654247,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACRV,EQUITY,True,,654247,654247
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,USA,Financial Services,Insurance - Specialty,5833915392.0,41.79,313950,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACT,EQUITY,True,,313950,313950
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,USA,Industrials,Business Equipment & Supplies,446241792.0,4.62,319533,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACTG,EQUITY,True,,319533,319533
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,USA,Healthcare,Biotechnology,44980600.0,1.88,143823,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACTU,EQUITY,True,,143823,143823
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,USA,Healthcare,Biotechnology,7220199.0,1.68,3101342,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ACXP,EQUITY,True,,3101342,3101342
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,USA,Financial Services,Shell Companies,287500000.0,10.0,9198,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ADAC,EQUITY,True,,9198,9198
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,USA,Healthcare,Biotechnology,219361008.0,3.32,252458,nasdaqlisted|yfinance,ADR,IN_SCOPE,MEDIUM,Security name indicates ADR/ADS; keep in scope for now.,ADAG,EQUITY,True,,252458,252458
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,USA,Real Estate,REIT - Mortgage,806952704.0,8.98,766512,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ADAM,EQUITY,True,,766512,766512
ADBE,Adobe Inc. - Common Stock,NASDAQ,USA,Technology,Software - Application,101632049152.0,251.44,5571100,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ADBE,EQUITY,True,,5571100,5571100
ADEA,Adeia Inc.  - Common Stock,NASDAQ,USA,Technology,Software - Application,3196312832.0,28.98,1697325,nasdaqlisted|yfinance,COMMON_STOCK,IN_SCOPE,HIGH,Security name indicates common stock/common shares.,ADEA,EQUITY,True,,1697325,1697325
