scenario,scenario_label,ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,balanced_decision,simulated_reasons,weak_reasons
balanced,Equilibrado,BKNG,Booking Holdings Inc. - Common Stock,128505839616.0,165.84,7852217,1302211667.28,PASSED,,
balanced,Equilibrado,BKR,Baker Hughes Company - Common Stock,62093578240.0,62.59,9106671,569986537.89,PASSED,,
balanced,Equilibrado,BL,"BlackLine, Inc. - Common Stock",1681221888.0,28.66,1262114,36172187.24,PASSED,,
balanced,Equilibrado,BLBD,Blue Bird Corporation - Common Stock,2205134336.0,69.68,424126,29553099.680000003,PASSED,,
balanced,Equilibrado,BLDP,"Ballard Power Systems, Inc. - Common Shares",1483261184.0,4.92,7285584,35845073.28,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,BLFS,"BioLife Solutions, Inc. - Common Stock",1301561472.0,26.64,511457,13625214.48,PASSED,,
balanced,Equilibrado,BLKB,"Blackbaud, Inc. - Common Stock",1300337792.0,28.31,625277,17701591.87,PASSED,,
balanced,Equilibrado,BLLN,"BillionToOne, Inc. - Class A common stock",4470301184.0,97.19,533725,51872732.75,PASSED,,
balanced,Equilibrado,BLMN,"Bloomin' Brands, Inc. - Common Stock",622415872.0,7.27,2833731,20601224.37,PASSED,,
balanced,Equilibrado,BLTE,"Belite Bio, Inc - American Depositary Shares",5746198016.0,143.35,164944,23644722.4,PASSED,,
balanced,Equilibrado,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,10972756992.0,56.77,2046165,116160787.05,PASSED,,
balanced,Equilibrado,BNTX,BioNTech SE - American Depositary Shares,22274045952.0,88.08,1203995,106047879.6,PASSED,,
balanced,Equilibrado,BOKF,BOK Financial Corporation - Common Stock,7851406336.0,129.22,327219,42283239.18,PASSED,,
balanced,Equilibrado,BPOP,"Popular, Inc. - Common Stock",9878787072.0,153.07,501774,76806546.17999999,PASSED,,
balanced,Equilibrado,BRKR,Bruker Corporation - Common Stock,8584003072.0,56.39,2345474,132261278.86,PASSED,,
balanced,Equilibrado,BRUN,Boost Run Inc. - Class A Common Stock,1790031488.0,29.14,995057,28995960.98,PASSED,,
balanced,Equilibrado,BRZE,"Braze, Inc. - Class A Common Stock",2580391680.0,22.91,3293296,75449411.36,PASSED,,
balanced,Equilibrado,BSY,"Bentley Systems, Incorporated - Class B Common Stock",10004024320.0,32.93,2518531,82935225.83,PASSED,,
balanced,Equilibrado,BTDR,Bitdeer Technologies Group - Ordinary Shares,4250689280.0,17.47,8177725,142864855.75,PASSED,,
balanced,Equilibrado,BTQ,BTQ Technologies Corp. - Common Stock,575339008.0,4.07,2568596,10454185.72,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,BTSG,"BrightSpring Health Services, Inc. - Common Stock",11324152832.0,57.4,2685279,154135014.6,PASSED,,
balanced,Equilibrado,BULL,Webull Corporation - Class A Ordinary Shares,2978184448.0,5.6,13436204,75242742.39999999,PASSED,,
balanced,Equilibrado,BUSE,First Busey Corporation - Common Stock,2332637952.0,27.58,611506,16865335.48,PASSED,,
balanced,Equilibrado,BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",1938100224.0,19.88,1635366,32511076.08,PASSED,,
balanced,Equilibrado,BZ,KANZHUN LIMITED - American Depository Shares,6322262016.0,14.03,4379411,61443136.33,PASSED,,
balanced,Equilibrado,CABA,"Cabaletta Bio, Inc. - Common Stock",529928096.0,3.25,3084863,10025804.75,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,CAC,Camden National Corporation - Common Stock,854191360.0,50.5,100942,5097571.0,PASSED,,
balanced,Equilibrado,CACC,Credit Acceptance Corporation - Common Stock,5697705472.0,544.71,169446,92298930.66,PASSED,,
balanced,Equilibrado,CADL,"Candel Therapeutics, Inc. - Common Stock",623529728.0,8.51,1763360,15006193.6,PASSED,,
balanced,Equilibrado,CAI,"Caris Life Sciences, Inc. - Common Stock",4661404672.0,16.49,2570080,42380619.2,PASSED,,
balanced,Equilibrado,CAKE,The Cheesecake Factory Incorporated - Common Stock,3285692928.0,66.13,1184736,78346591.67999999,PASSED,,
