asset_id,ticker,company_name,exchange,price_rows,date_start,date_end,trading_days_1y,adjusted_prices_available,price_feature_quality_status,features_calculated,features_missing,quality_flags,return_1m,return_3m,return_6m,return_12m,price_vs_sma_50,price_vs_sma_200,sma_50_vs_sma_200,volatility_3m,volatility_6m,max_drawdown_6m,max_drawdown_12m,downside_volatility_6m,avg_volume_1m,avg_volume_3m,momentum_consistency_flag,trend_positive_flag,recent_high_breakout_flag,near_52w_high_flag,recovery_from_drawdown_flag,price_acceleration_flag,liquidity_available_flag,phase
U00056,ADI,"Analog Devices, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.020338,-0.162287,0.045813,0.410688,-0.068629,0.02333,0.098735,0.426244,0.411119,-0.206766,-0.206766,0.267607,3571749.952381,4434496.015873,false,false,false,false,false,false,true,v2.38H
U00058,ADMA,ADMA Biologics Inc - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.067506,0.227632,-0.430403,-0.459444,0.02594,-0.267179,-0.285708,0.380038,0.620595,-0.540508,-0.627085,0.565426,2247335.428571,2829051.492063,false,false,false,false,true,false,true,v2.38H
U00059,ADP,"Automatic Data Processing, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.050819,0.226274,0.310815,-0.06762,0.09759,0.198071,0.091547,0.294003,0.307963,-0.165532,-0.373186,0.146221,2082552.47619,2505801.619048,true,true,false,true,true,false,true,v2.38H
U00060,ADPT,Adaptive Biotechnologies Corporation - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.053224,0.607662,0.513682,0.846737,0.052386,0.388925,0.319786,0.669447,0.681948,-0.245134,-0.393451,0.423053,2050809.428571,2952548.746032,true,true,false,true,true,false,true,v2.38H
U00062,ADSK,"Autodesk, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.055302,0.046607,-0.022534,-0.212933,0.085627,-0.001087,-0.079875,0.441358,0.415092,-0.289262,-0.425564,0.273921,1879307.238095,2505175.428571,false,false,false,false,false,true,true,v2.38H
U00063,ADTN,"ADTRAN Holdings, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.156885,-0.590909,-0.243927,-0.203625,-0.266035,-0.3455,-0.108268,0.667135,0.749744,-0.614948,-0.614948,0.574964,2027185.285714,2173641.126984,false,false,false,false,false,false,true,v2.38H
U00065,ADUS,Addus HomeCare Corporation - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.01918,0.266446,0.108262,-0.005383,0.017893,0.086043,0.066953,0.243785,0.25071,-0.162661,-0.279104,0.144041,200346.52381,232731.380952,false,true,false,true,true,false,true,v2.38H
U00066,ADV,Advantage Solutions Inc. - Class A Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.177049,-0.092098,1.377413,-0.282857,-0.117295,0.139478,0.290892,0.980438,1.02934,-0.458778,-0.743878,0.869155,109136.809524,135951.952381,false,false,false,false,false,false,true,v2.38H
U00069,AEBI,Aebi Schmidt Holding AG - Common Stock,,295,2025-07-01,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.094666,-0.020325,-0.147808,-0.019528,-0.045182,-0.04792,-0.002868,0.434591,0.588053,-0.370572,-0.408072,0.405019,479442.571429,346650.698413,false,false,false,false,false,false,true,v2.38H
U00072,AEHR,Aehr Test Systems - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.164868,-0.322212,0.839337,2.069739,-0.166552,0.238752,0.486299,1.466389,1.423653,-0.474006,-0.474006,0.673363,2370403.619048,2484569.460317,false,false,false,false,false,false,true,v2.38H
U00073,AEI,Alset Inc. - Common Stock,,671,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.333333,-0.072848,-0.267016,-0.007092,0.093835,-0.289439,-0.350395,0.961664,0.905683,-0.479592,-0.761124,0.387484,53371.857143,30160.460317,false,false,false,false,false,false,true,v2.38H
U00074,AEIS,"Advanced Energy Industries, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.099129,-0.144998,-0.172016,0.783806,-0.136027,-0.104099,0.036955,0.817797,0.721728,-0.351009,-0.351009,0.453539,573588.666667,788240.666667,false,false,false,false,false,false,true,v2.38H
U00076,AENT,Alliance Entertainment Holding Corporation - common stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.079579,-0.130536,-0.190741,-0.054468,-0.12028,-0.230118,-0.124857,0.46604,0.521395,-0.375,-0.451957,0.358534,18113.666667,17902.968254,false,false,false,false,false,false,true,v2.38H
U00078,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.109756,0.166667,1.20339,0.255172,0.06056,0.451606,0.368717,1.190771,1.178315,-0.402148,-0.692473,0.905091,17199.190476,37848.746032,true,true,false,true,true,true,true,v2.38H
U00080,AEVA,"Aeva Technologies, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.197175,-0.467579,0.057981,-0.001689,-0.255723,-0.130665,0.168026,1.322309,1.237601,-0.522363,-0.522363,0.629314,1927639.095238,1968597.15873,false,false,false,false,false,false,true,v2.38H
U00081,AEYE,"AudioEye, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.186125,-0.143032,-0.046259,-0.454475,0.07036,-0.110016,-0.168519,0.977091,0.873138,-0.340802,-0.648666,0.509959,149180.619048,133579.253968,false,false,false,false,false,false,true,v2.38H
U00085,AFRI,Forafric Global PLC - Ordinary Shares,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.070076,0.140262,0.168563,0.300345,0.07041,0.112065,0.038915,0.274036,0.259849,-0.060823,-0.174645,0.132169,18480.761905,21257.079365,true,true,true,true,false,true,true,v2.38H
U00086,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.075235,-0.015068,0.462262,-0.20936,-0.094036,0.052219,0.161435,0.571935,0.574804,-0.189905,-0.53862,0.301233,4972372.571429,4381508.31746,false,false,false,false,false,false,true,v2.38H
U00090,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.12017,0.290456,0.201194,-0.092814,-0.044397,0.115866,0.167709,0.581726,0.641804,-0.317882,-0.508903,0.529113,977261.47619,1137817.31746,true,false,false,false,true,true,true,v2.38H
U00092,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.084337,-0.266504,-0.296875,-0.540816,-0.123098,-0.383644,-0.297121,1.013927,1.042341,-0.485816,-0.929884,0.663142,58904.333333,151652.238095,false,false,false,false,false,false,true,v2.38H
U00094,AGNT,"AGNT, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.043902,-0.185031,-0.441595,-0.638042,-0.131032,-0.420438,-0.333045,0.642324,0.583311,-0.440058,-0.675424,0.371442,1263827.47619,1406083.761905,false,false,false,false,false,false,true,v2.38H
U00097,AGYS,"Agilysys, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.02562,0.25351,0.433907,0.030883,0.040584,0.185045,0.138827,0.489933,0.514091,-0.222722,-0.559311,0.269722,266924.190476,319709.650794,true,true,false,false,true,false,true,v2.38H
U00098,AHCO,AdaptHealth Corp. - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.491228,-0.429016,-0.41383,-0.419389,-0.35359,-0.450388,-0.149747,0.890182,0.710009,-0.609865,-0.609865,0.837526,4636308.238095,2430893.222222,false,false,false,false,false,false,true,v2.38H
