row_number,matched_terms,isin,symbol,name,country,exchange,mic,currency,source_provider,severity
3993,fund,,,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
3995,fund,,,Eaton Vance Enhance Equity Income Fund II Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4012,fund,,,Allspring Multi-Sector Income Fund Common Stock,USA,NYSE American,,,nasdaq_trader_otherlisted,review
4013,fund,,,Allspring Utilities and High Income Fund Common Shares,USA,NYSE American,,,nasdaq_trader_otherlisted,review
4026,fund,,,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4028,fund,,,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4029,fund,,,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4035,fund,,,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4036,fund,,,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4038,fund,,,"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",USA,NYSE,,,nasdaq_trader_otherlisted,review
4043,fund,,,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4049,fund,,,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4052,fund,,,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,USA,NYSE American,,,nasdaq_trader_otherlisted,review
4054,fund,,,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4062,fund,,,"abrdn Asia-Pacific Income Fund, Inc. Common Stock",USA,NYSE American,,,nasdaq_trader_otherlisted,review
4073,fund,,,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4082,fund,,,First Trust Enhanced Equity Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4095,fund,,,Flaherty & Crumrine Total Return Fund Inc Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4105,fund,,,Federated Hermes Premier Municipal Income Fund,USA,NYSE,,,nasdaq_trader_otherlisted,review
4107,fund,,,First Trust Mortgage Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4116,fund,,,"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4123,fund,,,Blackrock Floating Rate Income Strategies Fund Inc Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4132,fund,,,FS Specialty Lending Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4135,fund,,,First Trust High Yield Opportunities 2027 Term Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4157,cdt,,,Green Circle Decarbonize Technology Limited Ordinary Shares,USA,NYSE American,,,nasdaq_trader_otherlisted,review
4160,fund,,,"Gabelli Convertible and Income Securities Fund, Inc. (The) Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4163,fund,,,"GDL Fund, The Common Shares of Beneficial Interest",USA,NYSE,,,nasdaq_trader_otherlisted,review
4164,fund,,,Western Asset Global Corporate Opportunity Fund Inc. Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4175,fund,,,"New Germany Fund, Inc. (The) Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
