raw_candidate_id,market_id,source_id,source_url,raw_file,raw_object_index,symbol,name,isin,instrument_type,sector,price,currency,raw_payload,raw_quality_status,raw_quality_reason
sgx_raw_001113,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1113,0.660,I07,,stocks,,1.538,SGD,"{""p"": 1.538, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.01, ""s"": ""0.660"", ""nc"": ""I07"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001114,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1114,0.315,40T,,stocks,,8.621,SGD,"{""p"": 8.621, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.025, ""s"": ""0.315"", ""nc"": ""40T"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001115,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1115,1.943,ICM,,etfs,,0.833,SGD,"{""p"": 0.833, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.016, ""s"": ""1.943"", ""nc"": ""ICM"", ""cx"": 1.942, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""etfs""}",rejected,disallowed_instrument_term=etf
sgx_raw_001116,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1116,1.522,ICU,,etfs,,,SGD,"{""p"": 0.0, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.0, ""s"": ""1.522"", ""nc"": ""ICU"", ""cx"": 1.518, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""etfs""}",rejected,disallowed_instrument_term=etf
sgx_raw_001117,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1117,0.074,5WF,,stocks,,,SGD,"{""p"": 0.0, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.0, ""s"": ""0.074"", ""nc"": ""5WF"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001118,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1118,0.270,NXR,,stocks,,-1.887,SGD,"{""p"": -1.887, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": -0.005, ""s"": ""0.270"", ""nc"": ""NXR"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001119,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1119,0.525,42C,,stocks,,,SGD,"{""p"": 0.0, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.0, ""s"": ""0.525"", ""nc"": ""42C"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001120,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1120,0.023,J03,,stocks,,4.545,SGD,"{""p"": 4.545, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.001, ""s"": ""0.023"", ""nc"": ""J03"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001121,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1121,0.105,5OI,,stocks,,,SGD,"{""p"": 0.0, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.0, ""s"": ""0.105"", ""nc"": ""5OI"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001122,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1122,28.010,C07,,stocks,,-1.9,SGD,"{""p"": -1.9, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": -0.54, ""s"": ""28.010"", ""nc"": ""C07"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001123,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1123,0.280,1J7,,stocks,,,SGD,"{""p"": 0.0, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.0, ""s"": ""0.280"", ""nc"": ""1J7"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001124,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1124,0.685,BEW,,stocks,,0.741,SGD,"{""p"": 0.741, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.005, ""s"": ""0.685"", ""nc"": ""BEW"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001125,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1125,0.180,EUZW,,dlcertificates,,-11.594,SGD,"{""p"": -11.594, ""change_vs_pc"": ""0.14"", ""change_vs_pc_percentage"": null, ""c"": -0.016, ""s"": ""0.180"", ""nc"": ""EUZW"", ""cx"": 0.138, ""dpc"": 0.0, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": 0.0, ""type"": ""dlcertificates""}",rejected,disallowed_instrument_term=certificate
sgx_raw_001126,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1126,2.020,HJDD,,adrs,,-2.415,SGD,"{""p"": -2.415, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": -0.05, ""s"": ""2.020"", ""nc"": ""HJDD"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_090603"", ""cn"": null, ""dp"": null, ""type"": ""adrs""}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_001127,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_MINIMAL,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Ccn%2Cs%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Cdp%2Cdpc%2Ctrading_time,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\005_SGX_SECURITIES_V1_1_JSON_MINIMAL.json,1127,0.570,1J4,,stocks,,1.786,SGD,"{""p"": 1.786, ""change_vs_pc"": null, ""change_vs_pc_percentage"": null, ""c"": 0.01, ""s"": ""0.570"", ""nc"": ""1J4"", ""cx"": 0.0, ""dpc"": null, ""trading_time"": ""20260812_091600"", ""cn"": null, ""dp"": null, ""type"": ""stocks""}",accepted,structured_sgx_record_has_symbol_and_name
