ticker,company_name,exchange,raw_cik,source_provider,sec_classification,coverage_status,instrument_type,instrument_scope,classification_confidence
LYTHF,Lytus Technologies Holdings PTV. Ltd.,OTC,1816319,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ASBHY,"Asahi Group Holdings, Ltd./ADR",OTC,2055337,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
WTKWY,WOLTERS KLUWER N V /FI,OTC,861967,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
DSEEY,Daiwa Securities Group Inc.,OTC,1481045,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
PUGBY,Puig Brands S.A./ADR,OTC,2029472,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
BLMOY,BELIMO Holding AG/ADR,OTC,2109234,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
TMTNY,Toromont Industries Ltd./ADR,OTC,2072098,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
DLAKY,DEUTSCHE LUFTHANSA A G /FI,OTC,1049724,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
CRRFY,CARREFOUR SA,OTC,1078642,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MINBY,MINEBEA MITSUMI Inc.,OTC,1034983,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
CONE,"Compass Sub North, Inc.",None,2103884,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AKZOY,AKZO NOBEL NV,OTC,3124,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
BZLFY,BUNZL PLC,OTC,1072397,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
YARIY,YARA INTERNATIONAL ASA,OTC,1279956,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
VARRY,Var Energi ASA/ADR,OTC,1919275,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
OBICY,"OBIC Co., Ltd./ADR",OTC,2077146,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
GWKSY,GAMES WORKSHOP GROUP PLC/ADR,OTC,2062522,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
SPIIY,SPIE SA/ADR,OTC,2083221,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AZBLY,Azbil Corporation/ADR,OTC,2108185,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
KERCY,Keisei Electric Railway Co. Ltd/ADR,OTC,2107989,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
SNROY,"Sanrio Company, Ltd./ADR",OTC,1584273,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
PNDRY,Pandora A/S / ADR,OTC,1505880,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
LKNCY,Luckin Coffee Inc.,OTC,1767582,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
LPGCY,Laopu Gold Co. Ltd./ADR,OTC,2068440,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
NCLTY,"Nitori Holdings Co., Ltd.",OTC,1801729,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
BCHMY,Bachem Holding AG/ADR,OTC,1968378,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
FNMA,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,OTC,310522,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
VBREY,Vibra Energia S.A./ADR,OTC,1000377,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
