ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot,provider,source_phase,symbol,security_name,instrument_id,product_assignment_group_description,asset_type
0.385,5UF,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.385,5UF,equity_common_or_equity_like,,equity_common_or_equity_like
0.139,575,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.139,575,equity_common_or_equity_like,,equity_common_or_equity_like
0.105,5UL,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.105,5UL,equity_common_or_equity_like,,equity_common_or_equity_like
0.205,53W,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.205,53W,equity_common_or_equity_like,,equity_common_or_equity_like
2.690,X5N,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,2.690,X5N,equity_common_or_equity_like,,equity_common_or_equity_like
16.880,AVP,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,16.880,AVP,equity_common_or_equity_like,,equity_common_or_equity_like
0.210,1R6,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.210,1R6,equity_common_or_equity_like,,equity_common_or_equity_like
10.500,BBW,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,10.500,BBW,equity_common_or_equity_like,,equity_common_or_equity_like
0.605,8AZ,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.605,8AZ,equity_common_or_equity_like,,equity_common_or_equity_like
0.006,9QX,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.006,9QX,equity_common_or_equity_like,,equity_common_or_equity_like
0.002,YYB,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.002,YYB,equity_common_or_equity_like,,equity_common_or_equity_like
1.790,HBUD,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,1.790,HBUD,equity_common_or_equity_like,,equity_common_or_equity_like
0.465,BTP,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.465,BTP,equity_common_or_equity_like,,equity_common_or_equity_like
0.860,HBND,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.860,HBND,equity_common_or_equity_like,,equity_common_or_equity_like
0.550,B58,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.550,B58,equity_common_or_equity_like,,equity_common_or_equity_like
0.930,IBKD,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.930,IBKD,equity_common_or_equity_like,,equity_common_or_equity_like
0.245,KJ5,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.245,KJ5,equity_common_or_equity_like,,equity_common_or_equity_like
1.510,TBDD,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,1.510,TBDD,equity_common_or_equity_like,,equity_common_or_equity_like
0.480,BEZ,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.480,BEZ,equity_common_or_equity_like,,equity_common_or_equity_like
0.087,BQN,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.087,BQN,equity_common_or_equity_like,,equity_common_or_equity_like
0.450,BMGU,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_like_reit,equity_like_reit,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.450,BMGU,equity_like_reit,,equity_like_reit
0.975,B28,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.975,B28,equity_common_or_equity_like,,equity_common_or_equity_like
1.930,F9D,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,1.930,F9D,equity_common_or_equity_like,,equity_common_or_equity_like
4.500,BEC,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,4.500,BEC,equity_common_or_equity_like,,equity_common_or_equity_like
0.141,9I7,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.141,9I7,equity_common_or_equity_like,,equity_common_or_equity_like
4.530,B61,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,4.530,B61,equity_common_or_equity_like,,equity_common_or_equity_like
1.830,P8Z,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,1.830,P8Z,equity_common_or_equity_like,,equity_common_or_equity_like
1.480,HYDD,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,1.480,HYDD,equity_common_or_equity_like,,equity_common_or_equity_like
