append_order,row_number_in_promoted_dataset,country_confirmed,country_code_confirmed,country_code_columns_present,exchange_confirmed,mic_confirmed,currency_confirmed,symbol_key,name_key,isin_key,source_columns_present
238,42946,True,True,0,True,True,True,3000,hmtd,,7
239,42947,True,True,0,True,True,True,0102,du4,,7
240,42948,True,True,0,True,True,True,0540,9mt,,7
241,42949,True,True,0,True,True,True,0047,v3m,,7
242,42950,True,True,0,True,True,True,0445,m01,,7
243,42951,True,True,0,True,True,True,2820,5dd,,7
244,42952,True,True,0,True,True,True,0118,cne,,7
245,42953,True,True,0,True,True,True,0835,5wj,,7
246,42954,True,True,0,True,True,True,0127,1v3,,7
247,42955,True,True,0,True,True,True,4010,awz,,7
248,42956,True,True,0,True,True,True,0064,f86,,7
249,42957,True,True,0,True,True,True,1140,1mz,,7
250,42958,True,True,0,True,True,True,0077,5if,,7
251,42959,True,True,0,True,True,True,0985,cjlu,,7
252,42960,True,True,0,True,True,True,0198,n08,,7
253,42961,True,True,0,True,True,True,4600,nio,,7
254,42962,True,True,0,True,True,True,0036,n32,,7
255,42963,True,True,0,True,True,True,0200,543,,7
256,42964,True,True,0,True,True,True,0060,sej,,7
257,42965,True,True,0,True,True,True,0995,n02,,7
258,42966,True,True,0,True,True,True,0940,ntdu,,7
259,42967,True,True,0,True,True,True,31190,o39,,7
260,42968,True,True,0,True,True,True,0045,43a,,7
261,42969,True,True,0,True,True,True,1580,hqu,,7
262,42970,True,True,0,True,True,True,0035,kux,,7
263,42971,True,True,0,True,True,True,0380,5sy,,7
264,42972,True,True,0,True,True,True,0179,o08,,7
265,42973,True,True,0,True,True,True,0150,ots,,7
266,42974,True,True,0,True,True,True,0159,rq1,,7
267,42975,True,True,0,True,True,True,0073,5ux,,7
268,42976,True,True,0,True,True,True,3260,lss,,7
269,42977,True,True,0,True,True,True,1630,p52,,7
270,42978,True,True,0,True,True,True,0119,o9e,,7
271,42979,True,True,0,True,True,True,4110,c2pu,,7
272,42980,True,True,0,True,True,True,3170,pct,,7
273,42981,True,True,0,True,True,True,1700,btm,,7
274,42982,True,True,0,True,True,True,3110,hpcd,,7
275,42983,True,True,0,True,True,True,0167,bfk,,7
276,42984,True,True,0,True,True,True,4540,hpad,,7
277,42985,True,True,0,True,True,True,1250,hppd,,7
278,42986,True,True,0,True,True,True,3330,bcy,,7
279,42987,True,True,0,True,True,True,0166,oxmu,,7
280,42988,True,True,0,True,True,True,1890,oyy,,7
281,42989,True,True,0,True,True,True,16150,k6s,,7
282,42990,True,True,0,True,True,True,0490,dm0,,7
283,42991,True,True,0,True,True,True,5980,tped,,7
284,42992,True,True,0,True,True,True,0129,bcv,,7
285,42993,True,True,0,True,True,True,0115,nr7,,7
286,42994,True,True,0,True,True,True,0885,bsl,,7
287,42995,True,True,0,True,True,True,0072,5wh,,7
288,42996,True,True,0,True,True,True,0171,t13,,7
289,42997,True,True,0,True,True,True,0855,ap4,,7
290,42998,True,True,0,True,True,True,0086,5do,,7
291,42999,True,True,0,True,True,True,0030,9g2,,7
292,43000,True,True,0,True,True,True,0148,1e3,,7
293,43001,True,True,0,True,True,True,0049,brd,,7
294,43002,True,True,0,True,True,True,0705,crpu,,7
295,43003,True,True,0,True,True,True,4710,s58,,7
296,43004,True,True,0,True,True,True,3650,s61,,7
297,43005,True,True,0,True,True,True,3340,uggd,,7
298,43006,True,True,0,True,True,True,2160,5e2,,7
299,43007,True,True,0,True,True,True,5720,u96,,7
300,43008,True,True,0,True,True,True,24980,s68,,7
301,43009,True,True,0,True,True,True,0040,ses,,7
302,43010,True,True,0,True,True,True,4200,s07,,7
303,43011,True,True,0,True,True,True,0175,sgr,,7
304,43012,True,True,0,True,True,True,3270,ov8,,7
305,43013,True,True,0,True,True,True,0121,566,,7
306,43014,True,True,0,True,True,True,7100,c6l,,7
307,43015,True,True,0,True,True,True,3120,s59,,7
308,43016,True,True,0,True,True,True,0164,bhk,,7
309,43017,True,True,0,True,True,True,0580,bka,,7
310,43018,True,True,0,True,True,True,1590,s35,,7
311,43019,True,True,0,True,True,True,3460,u06,,7
312,43020,True,True,0,True,True,True,5300,s45u,,7
313,43021,True,True,0,True,True,True,4290,z74,,7
314,43022,True,True,0,True,True,True,4310,z77,,7
315,43023,True,True,0,True,True,True,2200,hsmd,,7
316,43024,True,True,0,True,True,True,1730,uxsd,,7
317,43025,True,True,0,True,True,True,0710,nc2,,7
318,43026,True,True,0,True,True,True,0365,stg,,7
319,43027,True,True,0,True,True,True,10290,s63,,7
320,43028,True,True,0,True,True,True,0475,h07,,7
321,43029,True,True,0,True,True,True,1560,set,,7
322,43030,True,True,0,True,True,True,2320,seb,,7
323,43031,True,True,0,True,True,True,0340,s85,,7
324,43032,True,True,0,True,True,True,1620,s20,,7
325,43033,True,True,0,True,True,True,0870,bhu,,7
326,43034,True,True,0,True,True,True,1670,t15,,7
327,43035,True,True,0,True,True,True,7580,htcd,,7
328,43036,True,True,0,True,True,True,1800,awi,,7
329,43037,True,True,0,True,True,True,2830,ags,,7
330,43038,True,True,0,True,True,True,0054,a50,,7
331,43039,True,True,0,True,True,True,1030,bqm,,7
332,43040,True,True,0,True,True,True,2760,t14,,7
333,43041,True,True,0,True,True,True,0197,tku,,7
334,43042,True,True,0,True,True,True,0092,bcz,,7
335,43043,True,True,0,True,True,True,0056,42t,,7
336,43044,True,True,0,True,True,True,0420,tsh,,7
337,43045,True,True,0,True,True,True,0300,bfu,,7
338,43046,True,True,0,True,True,True,0805,uibu,,7
339,43047,True,True,0,True,True,True,2570,558,,7
340,43048,True,True,0,True,True,True,0925,chj,,7
341,43049,True,True,0,True,True,True,0455,1f2,,7
342,43050,True,True,0,True,True,True,0520,zb9,,7
343,43051,True,True,0,True,True,True,42040,u11,,7
344,43052,True,True,0,True,True,True,4660,u10,,7
345,43053,True,True,0,True,True,True,8860,u13,,7
346,43054,True,True,0,True,True,True,10170,u14,,7
347,43055,True,True,0,True,True,True,0151,grq,,7
348,43056,True,True,0,True,True,True,0990,t6i,,7
349,43057,True,True,0,True,True,True,16930,v03,,7
350,43058,True,True,0,True,True,True,1840,wjp,,7
351,43059,True,True,0,True,True,True,1110,bdr,,7
352,43060,True,True,0,True,True,True,3940,f34,,7
353,43061,True,True,0,True,True,True,1570,w05,,7
354,43062,True,True,0,True,True,True,2170,hxxd,,7
355,43063,True,True,0,True,True,True,0675,z25,,7
356,43064,True,True,0,True,True,True,0079,z59,,7
357,43065,True,True,0,True,True,True,4720,bs6,,7
358,43066,True,True,0,True,True,True,0063,40w,,7
