ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot
1847,"ICHIKEN Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1848,FUJI P.S CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
184A,"Manabi-aid Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,5250,5250,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1850,"Nankai Tatsumura Construction Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1852,ASANUMA CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1853,"Mori-Gumi Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1860,TODA CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1861,"Kumagai Gumi Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1866,KITANO CONSTRUCTION CORP.,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1867,UEKI CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
186A,Astroscale Holdings Inc.,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,9050,9050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1870,"YAHAGI CONSTRUCTION CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1871,"PS Construction Co.,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
