url,origin_type,official_scope_allowed,download_or_data_hint,selected_for_fetch,selection_reason,attrs
https://global.krx.co.kr/contents/GLB/02/0201/0201040703/GLB0201040703.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040703/GLB0201040703.jsp"", ""data-menu-id"": ""E02010407""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040702/GLB0201040702.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040702/GLB0201040702.jsp"", ""data-menu-id"": ""E0201040702""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201040901/GLB0201040901.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201040901/GLB0201040901.jsp"", ""data-menu-id"": ""E060303""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201050100/GLB0201050100.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201050100/GLB0201050100.jsp"", ""data-menu-id"": ""E020105""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201050201/GLB0201050201.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201050201/GLB0201050201.jsp"", ""data-menu-id"": ""E02010502""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201050202/GLB0201050202.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201050202/GLB0201050202.jsp"", ""data-menu-id"": ""E0201050202""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201050203/GLB0201050203.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201050203/GLB0201050203.jsp"", ""data-menu-id"": ""E0201050203""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201050301/GLB0201050301.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201050301/GLB0201050301.jsp"", ""data-menu-id"": ""E02010503""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201050302/GLB0201050302.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201050302/GLB0201050302.jsp"", ""data-menu-id"": ""E0201050302""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201050401/GLB0201050401.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201050401/GLB0201050401.jsp"", ""data-menu-id"": ""E02010504""}"
https://global.krx.co.kr/contents/GLB/02/0201/0201050402/GLB0201050402.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0201/0201050402/GLB0201050402.jsp"", ""data-menu-id"": ""E0201050402""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202010101/GLB0202010101.jsp"", ""data-menu-id"": ""E0202""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202010102/GLB0202010102.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202010102/GLB0202010102.jsp"", ""data-menu-id"": ""E0202010102""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202010103/GLB0202010103.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202010103/GLB0202010103.jsp"", ""data-menu-id"": ""E0202010103""}"
https://global.krx.co.kr/board/GLB0202010104/bbs,html_a_href,True,False,False,,"{""href"": ""/board/GLB0202010104/bbs"", ""data-menu-id"": ""E0202010104""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202020101/GLB0202020101.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202020101/GLB0202020101.jsp"", ""data-menu-id"": ""E020202""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202020102/GLB0202020102.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202020102/GLB0202020102.jsp"", ""data-menu-id"": ""E0202020102""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202020103/GLB0202020103.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202020103/GLB0202020103.jsp"", ""data-menu-id"": ""E0202020103""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202020104/GLB0202020104.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202020104/GLB0202020104.jsp"", ""data-menu-id"": ""E0202020104""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202020201/GLB0202020201.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202020201/GLB0202020201.jsp"", ""data-menu-id"": ""E02020202""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202020202/GLB0202020202.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202020202/GLB0202020202.jsp"", ""data-menu-id"": ""E0202020202""}"
