row_number,ticker,exchange,source_provider,changed_field_count,metadata_backfill_status,original_country,proposed_country,country_rule_id,original_mic,proposed_mic,mic_rule_id,original_currency,proposed_currency,currency_rule_id,original_asset_type,proposed_asset_type,asset_type_rule_id,original_instrument_type,proposed_instrument_type,instrument_type_rule_id,original_instrument_scope,proposed_instrument_scope,instrument_scope_rule_id
23952,FFSBo,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23953,FFSMd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23954,FGGBl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23955,FGGBm,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23956,FGHYl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23957,FGLRl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23958,FGLRz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23959,FGLSl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23960,FGLSz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23961,FGOVl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
