source_phase,provider,source_file,source_sheet,source_excel_row_number,asx_code,ticker,symbol,name,isin,security_group_code,product_description,last_price,business_date,instrument_class,include_decision,exclusion_reason,scope_confidence,context_match,duplicate_asx_code_in_extraction,duplicate_isin_in_extraction,raw_code_column,raw_name_column,raw_isin_column,raw_product_column
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12648,SIG,SIG.AX,SIG.AX,SIGMA HEALTHCARE LIMITED,AU000000SIG5,EQY,ORDINARY FULLY PAID,2.75,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12650,SLX,SLX.AX,SLX.AX,SILEX SYSTEMS LIMITED,AU000000SLX4,EQY,ORDINARY FULLY PAID,5.3,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12660,SVL,SVL.AX,SVL.AX,SILVER MINES LIMITED,AU000000SVL8,EQY,ORDINARY FULLY PAID,0.12,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12665,SIS,SIS.AX,SIS.AX,SIMBLE SOLUTIONS LIMITED,AU000000SIS0,EQY,ORDINARY FULLY PAID,0.006,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12670,SIO,SIO.AX,SIO.AX,SIMONDS GROUP LIMITED,AU000000SIO9,EQY,ORDINARY FULLY PAID,0.135,29/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12672,SGM,SGM.AX,SGM.AX,SIMS LIMITED,AU000000SGM7,EQY,ORDINARY FULLY PAID,27.56,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12675,SGC,SGC.AX,SGC.AX,SINCLAIR GOLD LTD,AU0000478992,,ORDINARY FULLY PAID,,,ordinary_equity,include_candidate,ordinary_equity_signal,high,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12678,SHG,SHG.AX,SHG.AX,SINGULAR HEALTH GROUP LTD,AU0000129892,EQY,ORDINARY FULLY PAID,0.22,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12691,SNG,SNG.AX,SNG.AX,SIREN GOLD LIMITED,AU0000104069,EQY,ORDINARY FULLY PAID,0.045,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12698,SDR,SDR.AX,SDR.AX,SITEMINDER LIMITED,AU0000183543,EQY,ORDINARY FULLY PAID,4.08,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
