row_number,classification,matched_terms,reason,isin,ticker,name,exchange,country,mic,currency,source_provider,asset_type,instrument_type,instrument_scope
10995,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CPJ1l,iShares Core MSCI Pacific ex-Japan UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
10996,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CPPRl,Sprott Pure Play Copper Miners UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11000,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CPXJa,iShares Core MSCI Pacific ex-Japan UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11001,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CPXJl,iShares Core MSCI Pacific ex-Japan UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11002,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CQQQz,UBS Solactive China Technology UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11012,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRHGl,iShares Global Corp Bond UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11021,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRPAl,iShares Global Corp Bond UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11022,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRPEm,Amundi EUR Corporate Bond Climate Paris Aligned UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11023,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRPHz,iShares Global Corp Bond EUR Hedged UCITS ETF Dist,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11024,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRPSl,iShares Global Corp Bond UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11025,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRPUl,iShares Global Corp Bond UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11026,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRPUz,iShares Global Corp Bond UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11027,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRPXl,Amundi EUR Corporate Bond Climate Paris Aligned UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11028,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CRPp,Amundi EUR Corporate Bond Climate Paris Aligned UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11036,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CS1l,AMUNDI IBEX 35 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11037,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CS51l,iShares Core EURO STOXX 50 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
