candidate_id,source_phase,source_provider,source_market,source_country,exchange,mic,source_artifact_id,source_file,source_sheet,source_row_number,raw_stock_code,stock_code,ticker,ticker_yahoo,symbol,name,category,sub_category,instrument_family,candidate_scope_flag,board_lot,isin,expiry_date,subject_to_stamp_duty,shortsell_eligible,cas_eligible,vcm_eligible,admitted_to_ccass,debt_securities_board_lot_nominal,debt_securities_investor_type,pos_eligible,spread_table,trading_currency,rmb_counter,duplicate_stock_code_within_hkex_extract,dry_run_only,canonical_validation_status,expanded_rebuild_status,validation_phase,validation_status,validation_reason,matched_dataset,match_count,net_new_candidate,canonical_validation_dry_run_only,v2_19p_append_order,v2_19p_target_dataset,v2_19p_schema_mode,v2_19p_ticker_normalized,v2_19p_isin_normalized
HKEX_02804,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2001,02804,02804,02804.HK,02804.HK,02804.HK,PREMIA VIET,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,50,HK0000515871,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,21,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02804.HK,HK0000515871
HKEX_02805,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2002,02805,02805,02805.HK,02805.HK,02805.HK,CG BS CNASEAN,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,100,HK0001247144,,,Y,Y,,Y,,,Y,5,HKD,82805,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,22,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02805.HK,HK0001247144
HKEX_02806,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2003,02806,02806,02806.HK,02806.HK,02806.HK,GX CN CONSUME,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,50,HK0000562634,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,23,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02806.HK,HK0000562634
HKEX_02807,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2004,02807,02807,02807.HK,02807.HK,02807.HK,GX CN ROBO&AI,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,50,HK0000637857,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,24,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02807.HK,HK0000637857
HKEX_02809,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2005,02809,02809,02809.HK,02809.HK,02809.HK,GX CN CLN EN,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,50,HK0000562675,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,25,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02809.HK,HK0000562675
HKEX_02810,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2006,02810,02810,02810.HK,02810.HK,02810.HK,PREMIAEMASEAN,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,50,HK0000433414,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,26,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02810.HK,HK0000433414
HKEX_02812,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2007,02812,02812,02812.HK,02812.HK,02812.HK,SAMSUNGCDGN,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,200,HK0000422805,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,27,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02812.HK,HK0000422805
HKEX_02814,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2008,02814,02814,02814.HK,02814.HK,02814.HK,SAMSUNG FANG,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,200,HK0000736758,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,28,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02814.HK,HK0000736758
HKEX_02815,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2009,02815,02815,02815.HK,02815.HK,02815.HK,GX CN LIL GIANT,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,50,HK0000945656,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,29,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02815.HK,HK0000945656
HKEX_02818,v2.19N,HKEX,Hong Kong,Hong Kong,HKEX,XHKG,hkex_repair_01_full_list_of_securities,outputs\full_universe_source_acquisition\raw\hkex_v2_19l_fix\01_full_list_of_securities.xlsx,ListOfSecurities,2011,02818,02818,02818.HK,02818.HK,02818.HK,PANDO BITCOIN,Exchange Traded Products,Exchange Traded Funds,fund_or_etp,potential_candidate_pending_canonical_validation,100,HK0001171336,,,Y,Y,,Y,,,Y,5,HKD,,False,True,not_performed_v2_19n,not_performed_v2_19o,v2.19O,net_new_pending_expanded_rebuild,no_match_found,not_found_in_active_or_current_candidate,0,True,True,30,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv,current_candidate_headers_preserved,02818.HK,HK0001171336
