promotion_id,candidate_id,source_id,raw_symbol,raw_name,raw_exchange,raw_series,raw_isin,confidence_bucket,review_required,net_new_bucket,promoted_to_candidate_dataset,expanded_candidate_row_index,promotion_policy,promotion_notes
1e38f44ccd51447a,839d6f1ecdd1d918,nse_securities_available_equity_segment,DELHIVERY,Delhivery Limited,NSE,EQ,INE148O01028,high,False,potential_net_new_high,True,38741,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
5e3f768e5467b6d2,81e7c26e4b5517e1,nse_securities_available_equity_segment,DELTACORP,Delta Corp Limited,NSE,EQ,INE124G01033,high,False,potential_net_new_high,True,38742,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
ff12f7cf87c462ac,83f18788a8541d53,nse_securities_available_equity_segment,DELTAMAGNT,Delta Manufacturing Limited,NSE,EQ,INE393A01011,high,False,potential_net_new_high,True,38743,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
a97cf4340445b612,2593ea3c10a7746e,nse_securities_available_equity_segment,DEN,Den Networks Limited,NSE,EQ,INE947J01015,high,False,potential_net_new_high,True,38744,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
586daddc9730e164,8d7812db53191dde,nse_securities_available_equity_segment,DENORA,De Nora India Limited,NSE,EQ,INE244A01016,high,False,potential_net_new_high,True,38745,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
6c2fc1c470cc8c4c,bd95e2405c863d42,nse_securities_available_equity_segment,DENTA,Denta Water and Infra Solutions Limited,NSE,EQ,INE0R4L01018,high,False,potential_net_new_high,True,38746,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
152157ae90c75a8a,4069136f43604617,nse_securities_available_equity_segment,DEVIT,Dev Information Technology Limited,NSE,EQ,INE060X01034,high,False,potential_net_new_high,True,38747,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
b251e54f1bae1ec7,cf7f82dbeaa081e0,nse_securities_available_equity_segment,DEVX,Dev Accelerator Limited,NSE,EQ,INE0VOV01021,high,False,potential_net_new_high,True,38748,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
079a664b5cb51b8f,53770506a9c063c9,nse_securities_available_equity_segment,DEVYANI,Devyani International Limited,NSE,EQ,INE872J01023,high,False,potential_net_new_high,True,38749,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
a8fac88ee61f9656,63a13930bd7f5dc1,nse_securities_available_equity_segment,DGCONTENT,Digicontent Limited,NSE,EQ,INE03JI01017,high,False,potential_net_new_high,True,38750,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
fa132a4841585329,425f6b07cbbd2246,nse_securities_available_equity_segment,DHAMPURSUG,Dhampur Sugar Mills Limited,NSE,EQ,INE041A01016,high,False,potential_net_new_high,True,38751,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
520197f7513e5b60,9887eca19a193e6c,nse_securities_available_equity_segment,DHANUKA,Dhanuka Agritech Limited,NSE,EQ,INE435G01025,high,False,potential_net_new_high,True,38752,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
8ec106fdcf29a769,0e2ad5006faafe82,nse_securities_available_equity_segment,DHARMAJ,Dharmaj Crop Guard Limited,NSE,EQ,INE00OQ01016,high,False,potential_net_new_high,True,38753,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
db1620e329ab35cc,e26062ccd516354f,nse_securities_available_equity_segment,DHUNINV,Dhunseri Investments Limited,NSE,EQ,INE320L01011,high,False,potential_net_new_high,True,38754,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
ac2f98b363bf716f,ef5cbe96843fc773,nse_securities_available_equity_segment,DIAMINESQ,Diamines & Chemicals Limited,NSE,EQ,INE591D01014,high,False,potential_net_new_high,True,38755,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
e36af75fd9cddc14,5728f9cbc982c1f3,nse_securities_available_equity_segment,DIAMONDYD,Prataap Snacks Limited,NSE,EQ,INE393P01035,high,False,potential_net_new_high,True,38756,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
76a81a7ff8219cea,a688d793ff877063,nse_securities_available_equity_segment,DICIND,DIC India Limited,NSE,EQ,INE303A01010,high,False,potential_net_new_high,True,38757,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
