source_id,sample_order,sample_kind,sample_payload
SFC_VALORES_INSCRITOS_004_261,7,html_table_row,"{""Nombre del título"": ""BO PROMIGAS S.A. E.S.P."", ""Código ANN"": ""COI04CBBO033"", ""No. Emisión"": ""201212"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""2067"", ""Inscrito RNVE Fecha"": ""11/12/2012"", ""Inscrito BVC Fecha"": ""18/01/2013"", ""Monto Autorizado"": ""580.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
SFC_VALORES_INSCRITOS_004_261,8,html_table_row,"{""Nombre del título"": ""BO PROMIGAS S.A. E.S.P."", ""Código ANN"": ""COI04CBBO041"", ""No. Emisión"": ""201502"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""0130"", ""Inscrito RNVE Fecha"": ""13/02/2015"", ""Inscrito BVC Fecha"": ""02/03/2015"", ""Monto Autorizado"": ""500.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_004_261,9,html_table_row,"{""Nombre del título"": ""BO PROMIGAS, SURTIGAS Y GASES DE OCCIDENTE (EMISIÓN SINDICADA) - SEGUNDO MERCADO"", ""Código ANN"": ""COI04CBBO075"", ""No. Emisión"": ""202412"", ""Tipo Inscripción"": ""AUT"", ""Inscrito en"": ""RNVE"", ""Número de Acto Administrativo RNVE"": ""N/A"", ""Inscrito RNVE Fecha"": ""05/12/2024"", ""Inscrito BVC Fecha"": ""N/A"", ""Monto Autorizado"": ""540.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_004_261,10,html_table_row,"{""Nombre del título"": ""PC PEC PROMIGAS S.A. E.S.P."", ""Código ANN"": ""COI04CPPC014"", ""No. Emisión"": ""201608"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""1076"", ""Inscrito RNVE Fecha"": ""24/08/2016"", ""Inscrito BVC Fecha"": ""05/09/2016"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_050_261,1,html_table_row,"{""Nombre del título"": ""AO CELSIA S.A. - ANTES CELSIA S.A. E.S.P."", ""Código ANN"": ""COT60PAAO005"", ""No. Emisión"": ""200110"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""683"", ""Inscrito RNVE Fecha"": ""03/10/2001"", ""Inscrito BVC Fecha"": ""12/10/2001"", ""Monto Autorizado"": ""N/A"", ""Moneda"": ""N/A"", ""Última Calificacion"": ""N/A""}"
SFC_VALORES_INSCRITOS_050_261,2,html_table_row,"{""Nombre del título"": ""BONOS ORDINARIOS"", ""Código ANN"": ""COT60CBBO008"", ""No. Emisión"": ""201311"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BVC"", ""Número de Acto Administrativo RNVE"": ""2062"", ""Inscrito RNVE Fecha"": ""13/11/2013"", ""Inscrito BVC Fecha"": ""05/12/2013"", ""Monto Autorizado"": ""800.000.000.000"", ""Moneda"": ""COP"", ""Última Calificacion"": ""AAA""}"
SFC_PRECIO_ACCIONES_001_001,1,html_table_row,"{""Nombre del título"": ""AO BANCO DE BOGOTA"", ""Código SUPERFINANCIERA"": ""COB01PAAO006"", ""No. Emisión"": ""198110"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BC"", ""Inscrito en RNVEI"": ""277"", ""Resolución - Fecha"": ""15/10/1981"", ""Inscrito B.V.C Fecha"": ""15/10/1981""}"
SFC_PRECIO_ACCIONES_001_142,1,html_table_row,"{""Nombre del título"": ""ADP PEC GRUPO AVAL ACCIONES Y VALORES"", ""Código SUPERFINANCIERA"": ""COT29PAAD012"", ""No. Emisión"": ""199811"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BC"", ""Inscrito en RNVEI"": ""0071"", ""Resolución - Fecha"": ""14/01/2011"", ""Inscrito B.V.C Fecha"": ""01/02/2011""}"
SFC_PRECIO_ACCIONES_001_142,2,html_table_row,"{""Nombre del título"": ""AO PEC GRUPO AVAL ACCIONES Y VALORES S.A."", ""Código SUPERFINANCIERA"": ""COT29PAAO001"", ""No. Emisión"": ""199811"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BC"", ""Inscrito en RNVEI"": ""627"", ""Resolución - Fecha"": ""25/09/1998"", ""Inscrito B.V.C Fecha"": ""19/11/1998""}"
SFC_PRECIO_ACCIONES_002_023,1,html_table_row,"{""Nombre del título"": ""AO ADM.DE FDOS.DE PENS.Y CES PROTECCION S.A."", ""Código SUPERFINANCIERA"": ""COW19PAAO005"", ""No. Emisión"": ""199506"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BC"", ""Inscrito en RNVEI"": ""468"", ""Resolución - Fecha"": ""14/06/1995"", ""Inscrito B.V.C Fecha"": ""14/06/1995""}"
SFC_PRECIO_ACCIONES_022_053,1,html_table_row,"{""Nombre del título"": ""AO ORGANIZACION TERPEL S.A."", ""Código SUPERFINANCIERA"": ""COG20PAAO006"", ""No. Emisión"": ""201408"", ""Tipo Inscripción"": ""NOR"", ""Inscrito en"": ""BC"", ""Inscrito en RNVEI"": ""1418"", ""Resolución - Fecha"": ""15/08/2014"", ""Inscrito B.V.C Fecha"": ""15/08/2014""}"
SFC_MARKET_VALUE_INFORMATION_PAGE,1,html_table_row,"{""Capitalización Bursátil"": ""Información histórica (1)"", ""Índice de Bursatilidad Accionaria -IBA-"": ""Julio 2026""}"
SFC_MARKET_VALUE_INFORMATION_PAGE,2,html_table_row,"{""Capitalización Bursátil"": ""Año 2007(2)"", ""Índice de Bursatilidad Accionaria -IBA-"": ""Información histórica""}"
