asset_id,ticker,exchange,company_name,cik,sec_entity_name,sic,fiscal_year_end,sec_ticker,sec_exchange,identity_status,review_reason,evidence_source,submissions_available,companyfacts_available,basic_concepts_available,evidence_hash,phase
U04722,NAC,NYSE,Nuveen California Quality Municipal Income Fund,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,d7c88b7f5da86b508b2fd58323000ed00e15894f990e58d55f6e36d2dd32e4d7,v2.38D
U04723,NAD,NYSE,Nuveen Quality Municipal Income Fund Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,a8ce9cab2343bbc66585bd0db6decf00550263f5aba14e2fbd169d24e865d81d,v2.38D
U04725,NAN,NYSE,Nuveen New York Quality Municipal Income Fund Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,d1258054cf8dbf70c709b83adfb929131de4b99930bbb88b17407cd8a570f5d0,v2.38D
U04728,NAZ,NYSE,Nuveen Arizona Quality Municipal Income Fund Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,cc0574510e5379adb6b04d90989f09a4ea00d57d70578012b59478272d25cb49,v2.38D
U04729,NBB,NYSE,Nuveen Taxable Municipal Income Fund Common Shares of Beneficial Interest,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,2e1e2015a2186a779261d272c7cd17c375f7903e45129a4ca062b18a40f8579e,v2.38D
U04730,NBH,NYSE American,Neuberger Municipal Fund Inc. Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,a8ecaa3cf173e01f9833cb98cbbd4961d539c9879030c0d3ccfa5bea4d642253,v2.38D
U04733,NBXG,NYSE,Neuberger Next Generation Connectivity Fund Inc. Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,4881e2638446c76b98409cb3e77548af5d92636dcb3b869ed1a5dc14df105731,v2.38D
U04735,NCA,NYSE,Nuveen California Municipal Value Fund,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,6d2596d45ff89335a123f921d1610016194f184d4db88f2492f5abe3d4d864c3,v2.38D
U04739,NCV,NYSE,Virtus Convertible & Income Fund Common Shares of Beneficial Interest,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,1c24b4b7cbc579dfd0caded3d5820d01b6b9c86774e0207896bf45737d499193,v2.38D
U04740,NCZ,NYSE,Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,63e0e16033a7872e2aa9771c203a4446d170312c1625c2d0102d5129b308c51a,v2.38D
