environment=PROD,created=2026-07-07,time=22:58Z,warning=
tick_type,min_price,tick_size
xcse_aif,100.00000000,0.05000000
xcse_aif,200.00000000,0.10000000
xcse_aif,1000.00000000,0.20000000
xcse_aif,2000.00000000,0.50000000
xcse_aif,5000.00000000,1.00000000
xcse_aif,10000.00000000,2.00000000
xcse_aif,20000.00000000,5.00000000
xcse_aif,50000.00000000,10.00000000
xcse_aif,999990.00000000,
xetra_ne1,0.00010000,0.00010000
xetra_ne1,2.00000000,0.00020000
xetra_ne1,5.00000000,0.00050000
xetra_ne1,10.00000000,0.00100000
xetra_ne1,20.00000000,0.00200000
xetra_ne1,50.00000000,0.00500000
xetra_ne1,100.00000000,0.01000000
xetra_ne1,200.00000000,0.02000000
xetra_ne1,500.00000000,0.05000000
xetra_ne1,1000.00000000,0.10000000
xetra_ne1,2000.00000000,0.20000000
xetra_ne1,5000.00000000,0.50000000
xetra_ne1,10000.00000000,1.00000000
xetra_ne1,20000.00000000,2.00000000
xetra_ne1,50000.00000000,5.00000000
xetra_ne1,999995.00000000,
xetra_ne2,0.00010000,0.00010000
xetra_ne2,5.00000000,0.00020000
xetra_ne2,10.00000000,0.00050000
xetra_ne2,20.00000000,0.00100000
xetra_ne2,50.00000000,0.00200000
xetra_ne2,100.00000000,0.00500000
xetra_ne2,200.00000000,0.01000000
xetra_ne2,500.00000000,0.02000000
xetra_ne2,1000.00000000,0.05000000
xetra_ne2,2000.00000000,0.10000000
xetra_ne2,5000.00000000,0.20000000
xetra_ne2,10000.00000000,0.50000000
xetra_ne2,20000.00000000,1.00000000
xetra_ne2,50000.00000000,2.00000000
xetra_ne2,999998.00000000,
xetra_ne4,0.00010000,0.00010000
xetra_ne4,20.00000000,0.00020000
xetra_ne4,50.00000000,0.00050000
xetra_ne4,100.00000000,0.00100000
xetra_ne4,200.00000000,0.00200000
xetra_ne4,500.00000000,0.00500000
xetra_ne4,1000.00000000,0.01000000
xetra_ne4,2000.00000000,0.02000000
xetra_ne4,5000.00000000,0.05000000
xetra_ne4,10000.00000000,0.10000000
xetra_ne4,20000.00000000,0.20000000
xetra_ne4,50000.00000000,0.50000000
xetra_ne4,999999.50000000,
xosl,0.01000000,0.01000000
xosl,10.00000000,0.05000000
xosl,15.00000000,0.10000000
xosl,50.00000000,0.25000000
xosl,100.00000000,0.50000000
xosl,250.00000000,1.00000000
xosl,999999.00000000,
xsto2,0.01000000,0.01000000
xsto2,5.00000000,0.05000000
xsto2,15.00000000,0.10000000
xsto2,50.00000000,0.25000000
xsto2,150.00000000,0.50000000
xsto2,500.00000000,1.00000000
xsto2,5000.00000000,5.00000000
xsto2,999995.00000000,
xsto_etf,0.01000000,0.01000000
xsto_etf,5.00000000,0.05000000
xsto_etf,500.00000000,0.10000000
xsto_etf,5000.00000000,1.00000000
xsto_etf,999999.00000000,
xswx_noneu,0.00100000,0.00100000
xswx_noneu,1.00000000,0.01000000
xswx_noneu,999999.99000000,
